titre,entreprise,secteur,localisation,competences,experience,contrat,cluster
Chargé(e) de clientèle sur la région tahla.,Société marocaine,Grande Distribution,Fès,requises : -connaissance des techniques de vente et de negociation. -bonne expression orale et ecrite. -sens de lecoute et de la communication. -orientation client et sens du service. -esprit dequipe et rigueur. -capacite a gerer les priorites et le stress.,"-bac +2 / bac +3 en commerce, gestion, marketing, ou equivalent. -1 a 2 ans dans une",CDI,4
Manutentionnaire à ain harrouda,Confidentiel,Transport / Achat / Logistique,Casablanca,"correspond aux criteres demandes, priere de nous transmettre votre candidature via ce site. dans l'attente de vous lire","en entrepot est un plus (non obligatoire).nous vous proposons un cadre de travail agreable et challengeant, avec une gestion de carriere au point et une declaration aupres des organismes sociaux a partir du 1er mois d'integration. si votre profil correspond aux criteres demandes, priere de nous transmettre votre candidature via ce site. dans l'attente de vous lire",A discuter,7
Manutentionnaire à,Confidentiel,Transport / Achat / Logistique,Marrakech,"correspond aux criteres demandes, priere de nous transmettre votre candidature via ce site. dans l'attente de vous lire","en entrepot est un plus (non obligatoire).nous vous proposons un cadre de travail agreable et challengeant, avec une gestion de carriere au point et une declaration aupres des organismes sociaux a partir du 1er mois d'integration. si votre profil correspond aux criteres demandes, priere de nous transmettre votre candidature via ce site. dans l'attente de vous lire",A discuter,7
Agent de saisie / bon de commande bac +3,xxxx,Accueil / Secrétariat / Administration,Casablanca,,,Interim,4
Chauffeur transport personnel / pemis d,Confidentiel,Transport / Achat / Logistique,Casablanca,,de 4 ans dans un poste similaire. - lieu : casablanca - disponibilite : immediate,Interim,7
Chargé de portefeuille,Fondation Arrawaj,Banque / Finance / Assurance,Tanger,"pour le poste : charge de portefeuille - tanger titulaire dun bac+3 minimum en comptabilite, finance, commerce ou en gestion jeune diplome ou justifiant dune premiere experience reussie comme commercial dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges bonne resistance a la pression et au stress avoir lesprit d'initiative bonne capacite dadaptation habilete a creer du lien avec les clients","reussie comme commercial dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges bonne resistance a la pression et au stress avoir lesprit d'initiative bonne capacite dadaptation habilete a creer du lien avec les clients",CDI,4
Technicien de maintenance en automobile,SOLANO EMLPOI,Autre,Casablanca,"correspond, merci de nous envoyer vos cvs via ce site.",dans le,Interim,3
Chargé de portefeuille casa mediouna / had soualem,Fondation Arrawaj,Banque / Finance / Assurance,Casablanca,"pour le poste : charge de portefeuille - casablanca - titulaire dun bac+3 minimum en comptabilite, finance, commerce ou en gestion - jeune diplome ou justifiant dune premiere experience reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients","reussie comme commercial - dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges - bonne resistance a la pression et au stress - avoir lesprit d'initiative - bonne capacite dadaptation - habilete a creer du lien avec les clients",CDI,4
Chargé de portefeuille,Fondation Arrawaj,Banque / Finance / Assurance,Nador,pour le poste : charge de portefeuille - nador,"reussie comme commercial dynamique, dote dune aisance relationnelle avec un gout prononce pour les challenges bonne resistance a la pression et au stress avoir lesprit d'initiative bonne capacite dadaptation habilete a creer du lien avec les clients",CDI,0
Cariste c5,SOLANO EMLPOI,Autre,Casablanca,"correspond, merci de nous envoyer vos cv via ce site.",,Interim,3
Mécanicien ( automobile ),SOLANO EMLPOI,Autre,Casablanca,"correspond, merci de nous envoyer vos cvs via ce site.",en mecanique automobile et poids lourds.,Interim,3
Chef de projet en menuiserie aluminium,--,Autre,Casablanca,"requises - bonne connaissance menuiserie aluminium et facades. - lecture de plans techniques. - connaissance gammes, profils, accessoires. - methodes de pose. - notions calculs, metres et resistance des materiaux. - normes qualite et securite. - management d'equipes, organisation, priorisation. - communication, negociation, gestion du stress. logiciels - autocad - excel - ms project / planning - logiciels metier : logikal, orgadata, erp.",,CDI,4
Conducteur de travaux menuiserie aluminium,---,Autre,Casablanca,"requises - connaissance menuiserie aluminium et facades. - lecture de plans. - methodes de pose. - encadrement equipes chantier. - coordination sous-traitants. - leadership, organisation, reactivite. - excel, autocad (lecture), ms project, erp.",de 3 a 10 ans,CDI,4
Agent de route,DHL,Transport / Achat / Logistique,Kénitra,"niveau bac +2 minimum permis de conduire b et/ou c obligatoire bonne capacite de communication sens du service, rigueur et reactivite experience dans la logistique ou le transport souhaitee rejoignez une equipe dynamique et contribuez a la performance dun environnement logistique exigeant et stimulant. interesse(e) ? envoyez votre candidature des maintenant",dans la logistique ou le transport souhaitee rejoignez une equipe dynamique et contribuez a la performance dun environnement logistique exigeant et stimulant. interesse(e) ? envoyez votre candidature des maintenant,A discuter,7
Pré vendeur à,SAPLINCO,Commercial / Vente,Salé,niveau bac a bac+2 en commerce ou equivalent. experience souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,souhaitee dans la vente ou la distribution de produits alimentaires (food). bonne connaissance de la,A discuter,1
Pré vendeur à,Confidentiel,Grande Distribution,Tanger,"correspond aux criteres demandes, priere de nous transmettre votre candidature via ce site. dans l'attente de vous lire.",probante dans le,A discuter,3
Technicien en génie civil,BET,Construction / Btp,Nador,,dans la realisation des etudes techniques est souhaitee. disponibilite: immediate,A discuter,3
Hôtesse d'accueil,Confidential,Tourisme / Hôtellerie / Restauration,Casablanca,"presentation irreprochable, excellent relationnel maitrise du francais et de l'anglais premiere experience en accueil appreciee conditions",en accueil appreciee conditions,A discuter,6
Contrôleur de gestion confirmé / bac+5,Cabinet de recrutement,Commercial / Vente,Casablanca,"formation bac+5 en finance, controle de gestion ou audit experience de 3 a 5 ans minimum dans un poste similaire excellente maitrise dexcel (tcd, formules avancees, analyse de donnees) bonne maitrise des outils erp esprit analytique, rigueur et sens de la confidentialite capacite a travailler avec les operationnels et a challenger les chiffres","de 3 a 5 ans minimum dans un poste similaire excellente maitrise dexcel (tcd, formules avancees, analyse de donnees) bonne maitrise des outils erp esprit analytique, rigueur et sens de la confidentialite capacite a travailler avec les operationnels et a challenger les chiffres",CDI,2
Responsable de stock /,SARL,Autre,Casablanca,"organisationnelles et manageriales autonomie, rigueur, sens de linitiative","significative dans la gestion de stock ou la logistique maitrise des outils de gestion de stock (erp, wms, excel...) bonnes",CDI,4
Chef comptable / bac+4/5,TRANS,Comptabilité / Gestion / Audit,Casablanca,"bac+4 / bac+5 en comptabilite, finance ou gestion experience confirmee dans un poste similaire maitrise de la reglementation fiscale et comptable rigueur, sens de lorganisation et esprit danalyse capacite manageriale et sens des responsabilites","confirmee dans un poste similaire maitrise de la reglementation fiscale et comptable rigueur, sens de lorganisation et esprit danalyse capacite manageriale et sens des responsabilites",CDI,2
Receptionniste sur,HOTIN,Accueil / Secrétariat / Administration,Rabat,"formation en hotellerie, tourisme ou equivalent maitrise du francais et de l'anglais (arabe et espagnol apprecies) sens de l'accueil, presentation soignee, maitrise des outils pms (opera, fols...) conditions",+ avantages,A discuter,4
Ingénieur production sur casabalanca,HOTIN,Industrie / Ingénierie / Energie,Casablanca,"ingenieur en genie industriel / mecanique / electromecanique experience en industrie de 2+ ans maitrise lean, rigueur et capacite analytique conditions","en industrie de 2+ ans maitrise lean, rigueur et capacite analytique conditions",A discuter,8
Une assistante commerciale à,PJ,Commercial / Vente,Casablanca,"organisation, rigueur, gestion des priorites - experience : une premiere experience similaire est souhaitee",une premiere experience similaire est souhaitee,CDI,1
Ingénieur hydraulicien et prescripteur technique,TECTRA,Industrie / Ingénierie / Energie,Casablanca,"etude des projets deau potable et dassainissement ; -analyse du marche et veille concurrentielle ; -techniques de negociation et communication ; -marches publics au maroc ; -dimensionnement et verification mecanique du -comportement des conduites (fascicule 70 ou autre) ; -gestion, evaluation et planification des projets",dans le secteur de l'eau en prescription ou en etudes techniques -connaissance des normes et reglementations du secteur de l'eau -maitrise de l'anglais,CDI,8
Télévendeuses,Groupe Multi-Laboratoire LC2A,Commercial / Vente,Mohammedia,bac+3/5,"2a est un groupe des laboratoires analytique multisectorielle base au maroc, specialise dans les analyses bio-analytiques,",A discuter,1
Barman,Manpower maroc,Tourisme / Hôtellerie / Restauration,Agadir,experience en bar dhotel ou etablissement premium creativite et bon relationnel,en bar dhotel ou etablissement premium creativite et bon relationnel,Interim,6
Recrutement commercial en immobilier,Alia,Immobilier,Rabat,"en vente et relationnel client. connaissance du marche immobilier dans la region de rabat sale et temara. maitrise du francais et de l'arabe. resident (e) dans la region de temara, ain atiq, skhirat si vous etes dynamique, motive(e) et que vous aimez l'immobilier, envoyez nous votre cv des maintenant !",commerciale dans l'immobilier souhaitee. bonnes,CDI,1
Commis de cuisine,Manpower maroc,Tourisme / Hôtellerie / Restauration,Agadir,formation en cuisine premiere experience souhaitee,souhaitee,Interim,6
Chargée de facturation et recouvrement,Confidentiel,Autre,Casablanca,"bac+2 / bac+3 en comptabilite, gestion ou finance experience de 1 a 3 ans dans un poste similaire bonne maitrise des outils bureautiques (notamment excel) connaissance des techniques de recouvrement et gestion client rigueur, organisation et bon relationnel capacite a gerer les priorites et travailler sous pression conditions : poste base a casablanca","de 1 a 3 ans dans un poste similaire bonne maitrise des outils bureautiques (notamment excel) connaissance des techniques de recouvrement et gestion client rigueur, organisation et bon relationnel capacite a gerer les priorites et travailler sous pression conditions : poste base a casablanca",Interim,4
